epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.89513,2.31473,5.77095,1.51629,0.00208,0.625,0.00144,0.00055,2.20213,4.06204,1.30018,0.000571429,0.000571429,0.000571429
2,2.14091,2.2868,5.03076,1.49819,0.0025,0.75,0.002,0.00062,2.21126,4.14478,1.30421,0.00122584,0.00122584,0.00122584
3,2.38884,2.27015,5.63734,1.44203,0.0025,0.75,0.00204,0.00067,2.20101,4.19941,1.30864,0.00186705,0.00186705,0.00186705
4,2.67655,3.14602,5.66939,2.46624,0,0,0,0,2.68342,5.62506,2.73767,0.0019406,0.0019406,0.0019406
5,2.97048,3.56771,6.30721,2.95735,0,0,0,0,2.75071,5.3434,2.58375,0.0019208,0.0019208,0.0019208
6,3.25251,2.39449,5.39349,1.82673,0.00042,0.125,0.00018,4e-05,2.14297,4.87089,2.23872,0.001901,0.001901,0.001901
7,3.53866,2.14851,4.95054,1.71623,0.0025,0.75,0.00331,0.00063,1.64202,4.46054,1.69193,0.0018812,0.0018812,0.0018812
8,3.81884,2.25338,4.22273,1.74377,0.0025,0.75,0.00331,0.00063,1.64202,4.46054,1.69193,0.0018614,0.0018614,0.0018614
9,4.10064,1.95408,4.06011,1.53591,0.00208,0.625,0.00342,0.00084,1.58317,4.49988,1.64097,0.0018416,0.0018416,0.0018416
10,4.39489,1.81843,3.38386,1.51809,0.00208,0.625,0.00435,0.00096,1.64766,4.3729,1.79028,0.0018218,0.0018218,0.0018218
11,4.694,1.65258,3.42033,1.45807,0.0025,0.75,0.01737,0.00283,1.64579,4.28612,1.73131,0.001802,0.001802,0.001802
12,4.99331,1.65162,3.01204,1.38907,0.00208,0.625,0.00414,0.00176,1.75621,4.14321,1.58034,0.0017822,0.0017822,0.0017822
13,5.29382,1.66983,2.68324,1.45757,0.00208,0.625,0.00411,0.00273,1.62938,4.16643,1.51328,0.0017624,0.0017624,0.0017624
14,5.60296,1.53647,2.57482,1.32893,0.0025,0.75,0.03228,0.01886,1.68371,3.85131,1.648,0.0017426,0.0017426,0.0017426
15,5.90216,1.64373,2.23776,1.41218,0.00292,0.875,0.4988,0.26652,1.66935,3.84876,1.57641,0.0017228,0.0017228,0.0017228
16,6.18435,1.52564,2.19158,1.38238,0.00292,0.875,0.4988,0.26652,1.66935,3.84876,1.57641,0.001703,0.001703,0.001703
